year,more_developed,less_developed
1950,812989,1712161
1951,822320,1749547
1952,832149,1785792
1953,842294,1821735
1954,852613,1858064
1955,863004,1895310
1956,873402,1933845
1957,883779,1973884
1958,894144,2015507
1959,904526,2058691
1960,914951,2103393
1961,925414,2149659
1962,935854,2197700
1963,946142,2247933
1964,956110,2300878
1965,965645,2356850
1966,974681,2416005
1967,983258,2478085
1968,991503,2542464
1969,999600,2608266
1970,1007682,2674806
1971,1015796,2741939
1972,1023895,2809700
1973,1031912,2877810
1974,1039743,2945991
1975,1047312,3014087
1976,1054610,3081932
1977,1061671,3149651
1978,1068531,3217751
1979,1075242,3286948
1980,1081844,3357789
1981,1088335,3430267
1982,1094713,3504290
1983,1101020,3580191
1984,1107307,3658351
1985,1113605,3738936
1986,1119932,3822124
1987,1126262,3907543
1988,1132524,3994109
1989,1138616,4080362
1990,1144463,4165205
1991,1150058,4248271
1992,1155412,4329703
1993,1160497,4409548
1994,1165284,4488032
1995,1169761,4565362
1996,1173920,4641472
1997,1177797,4716358
1998,1181488,4790395
1999,1185125,4864080
2000,1188812,4937810
2001,1192558,5011752
2002,1196366,5085936
2003,1200311,5160454
2004,1204479,5235363
2005,1208920,5310716
2006,1213683,5386537
2007,1218718,5462889
2008,1223838,5539895
2009,1228786,5617693
2010,1233376,5696349
2011,1237532,5775895
2012,1241302,5856198
2013,1244774,5936941
2014,1248089,6017697
2015,1251351,6098121
